Size,Mode,Time,GFLOPS,CacheMisses,Instructions,Cycles,IPC
128,basic,0.003827718,1.0957714230776667,29289,16070029,10625550,1.5123950289632067
128,parallel,0.00250235,1.6761460227386258,33515,16510195,20820966,0.7929600864820585
128,vectorized,0.010905433,0.38460682854133343,51694,24751638,370578214,0.06679194044580289
256,basic,0.026012395,1.2899401227760843,49071,97989904,95650087,1.0244622568926676
256,parallel,0.006755207,4.967195231767139,19706,98958939,181781250,0.5443847426508509
256,vectorized,0.004207298,7.97529245610841,37591,36324059,42856883,0.8475665157449738
512,basic,0.202755438,1.3239371463861798,334596,719250687,789337059,0.9112085626781651
512,parallel,0.0440897,6.088393797190727,311117,726857139,1540173243,0.4719320649826404
512,vectorized,0.014795059,18.14358807220708,331367,219766646,242203769,0.907362618291873
1024,basic,1.601299001,1.341088482949725,19997221,5554470778,6631217207,0.8376246177152255
1024,parallel,0.283451094,7.5762051847998855,8042509,5559091298,12174682698,0.45661077466217836
1024,vectorized,0.070070377,30.647525244512384,2308928,1543603525,1815662960,0.850159726230247
2048,basic,51.330922841,0.3346884924943872,8152111036,43684509194,216970011528,0.20133892645510834
2048,parallel,19.799879316,0.8676754494214111,6881950620,43716686799,928346739204,0.047090903595443614
2048,vectorized,0.545694545,31.482574530775267,140386670,11519323356,19628058496,0.5868804272387674
